id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact,impact,impactName
143,5140,Brient,Valid,Eucrite-pmict,219,Fell,1933,52.13333,59.31667,49503,9990,Brient
144,5156,Bruderheim,Valid,L6,303000,Fell,1960,53.9,-112.88333,78301,5990,Bruderheim
145,30448,Bukhara,Valid,CV3,5300,Fell,2001,39.77978,64.60035,63083,518000,Bukhara
146,5163,Bulls Run,Valid,Iron?,2250,Fell,1964,,,32054,3690,Bulls Run
147,48653,Bunburra Rockhole,Valid,Eucrite,324,Fell,2007,-31.35,129.19,85422,1130,Bunburra Rockhole
148,5165,Bununu,Valid,Howardite,357,Fell,1942,10.01667,9.58333,71367,2560,Bununu
149,5169,Bur-Gheluai,Valid,H5,120000,Fell,1919,5,48,49334,1390,Bur
150,5175,Burnwell,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,13919,9610,Burnwell
151,5177,Bursa,Valid,L6,25000,Fell,1946,40.2,29.23333,24436,802000,Bursa
152,5178,Buschhof,Valid,L6,5000,Fell,1863,46.45,25.78333,14813,3590,Buschhof
153,5181,Bustee,Valid,Aubrite,1500,Fell,1852,26.78333,82.83333,91424,8100,Bustee
154,5183,Butsura,Valid,H6,29000,Fell,1861,27.08333,84.08333,32542,1370,Butsura
155,48654,Buzzard Coulee,Valid,H4,41000,Fell,2008,52.996,-109.84817,94772,8410,Buzzard Coulee
156,5185,Cabezo de Mayo,Valid,L/LL6,25000,Fell,1870,37.98333,-1.16667,4467,6300,Cabezo de Mayo
157,5186,Cabin Creek,Valid,"Iron, IIIAB",48500,Fell,1886,35.5,-93.5,12703,664000,Cabin Creek
158,5187,Cacak,Valid,OC,212,Fell,1919,43.83889,20.33333,61786,201000,Cacak
159,45976,Cali,Valid,H/L4,478,Fell,2007,3.405,-76.51,6767,295000,Cali
160,5200,Calivo,Valid,Stone-uncl,2400,Fell,1916,11.75,122.33333,15285,428,Calivo
161,5249,Campos Sales,Valid,L5,23680,Fell,1991,-7.03333,-40.16667,9128,123000,Campos Sales
162,5250,Çanakkale,Valid,L6,4000,Fell,1964,39.8,26.6,50313,1070000,Cangas de Onis
163,5251,Cañellas,Valid,H4,945,Fell,1861,41.25,1.66667,99940,232000,Canon City
164,5252,Cangas de Onis,Valid,H5,34000,Fell,1866,43.38333,-5.15,77354,6930,Cañellas
165,5253,Canon City,Valid,H6,1400,Fell,1973,38.47028,-105.24139,17950,47100,Cape Girardeau
166,5260,Cape Girardeau,Valid,H6,2300,Fell,1846,37.26667,-89.58333,62657,36600,Capilla del Monte
167,5264,Capilla del Monte,Valid,H6,750,Fell,1934,-30.88333,-64.55,98776,16400,Carancas
168,45817,Carancas,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,62305,434,Caratash
169,5265,Caratash,Valid,LL6,8,Fell,1902,38.5,27,82896,502000,Castalia
170,5291,Castalia,Valid,H5,7300,Fell,1874,36.08333,-78.06667,41426,331,Castel Berardenga
171,5292,Castel Berardenga,Valid,Stone-uncl,,Fell,1791,43.35,11.5,23642,318000,Castine
172,5293,Castine,Valid,L6,94,Fell,1848,44.38333,-68.75,88790,70000,Castrovillari
173,5295,Castrovillari,Valid,Stone-uncl,15000,Fell,1583,39.8,16.2,82126,6980,Caswell County
174,5296,Caswell County,Valid,OC,1360,Fell,1810,36.5,-79.25,54269,28600,Ceniceros
175,5306,Ceniceros,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,21731,1550000,Centerville
176,5307,Centerville,Valid,H5,45.6,Fell,1956,43.2,-96.91667,20892,11400,Cereseto
177,5308,Cereseto,Valid,H5,6460,Fell,1840,45.08333,8.3,90448,1760,Chadong
178,5313,Chadong,Valid,L6,3700,Fell,1998,28.53333,109.31667,33745,90400,Chail
179,5314,Chail,Valid,H6,0.5,Fell,1814,25.36667,81.66667,65822,3690,Chainpur
180,5315,Chainpur,Valid,LL3.4,8200,Fell,1907,25.85,83.48333,61544,4180,Chajari
181,5316,Chajari,Valid,L5,18300,Fell,1933,-30.78333,-58.05,95249,640,Chandakapur
182,5320,Chandakapur,Valid,L5,8800,Fell,1838,20.26667,76.01667,77005,16900,Chandpur
183,5321,Chandpur,Valid,L6,1100,Fell,1885,27.28333,79.05,10662,139000,Changde
184,5322,Changde,Valid,H5,1810,Fell,1977,29.08333,111.75,31145,42200,Chantonnay
185,5325,Chantonnay,Valid,L6,31500,Fell,1812,46.68333,1.05,18052,24300000,Charlotte
186,5328,Charlotte,Valid,"Iron, IVA",4300,Fell,1835,36.16667,-87.33333,90012,4350,Charsonville
187,5329,Charsonville,Valid,H6,27000,Fell,1810,47.93333,1.56667,79501,478,Charwallas
188,5330,Charwallas,Valid,H6,12000,Fell,1834,29.48333,75.5,45700,19100,Chassigny
189,5331,Chassigny,Valid,Martian (chassignite),4000,Fell,1815,47.71667,5.36667,79434,2360000,Chaves
190,5332,Château-Renard,Valid,L6,30000,Fell,1841,47.93333,2.91667,92574,21200,Château
191,5334,Chaves,Valid,Howardite,2945,Fell,1925,41.93333,-7.46667,32056,145000,Chela
192,5338,Chela,Valid,H4,2936,Fell,1988,-3.66667,32.5,79700,4080000,Chelyabinsk
193,57165,Chelyabinsk,Valid,LL5,100000,Fell,2013,54.81667,61.11667,89104,8630,Chergach
194,47347,Chergach,Valid,H5,100000,Fell,2007,23.69639,-5.01472,36967,439,Chernyi Bor
195,5339,Chernyi Bor,Valid,H4,6000,Fell,1964,53.7,30.1,53042,1650,Cherokee Springs
196,5340,Cherokee Springs,Valid,LL6,8400,Fell,1933,35.03333,-81.88333,75351,647,Chervettaz
197,5341,Chervettaz,Valid,L5,705,Fell,1901,46.55,6.81667,18626,7540,Chervony Kut
198,5342,Chervony Kut,Valid,Eucrite-mmict,1700,Fell,1939,50.83333,34,13999,299,Chetrinahatti
199,5344,Chetrinahatti,Valid,Stone-uncl,72,Fell,1880,14.5,76.5,23937,710,Chiang Khan
200,5345,Chiang Khan,Valid,H6,367,Fell,1981,17.9,101.63333,48505,63200,Chicora
201,5349,Chicora,Valid,LL6,303,Fell,1938,40.93333,-79.73333,32674,1180,Chisenga
202,5355,Chisenga,Valid,"Iron, IIIAB",3920,Fell,1988,-10.05944,33.395,43427,933,Chitado
203,5356,Chitado,Valid,L6,,Fell,1966,-17.35,13.96667,77390,4500,Chitenay
204,5357,Chitenay,Valid,L6,4000,Fell,1978,47.47083,0.97667,15608,2140,Cilimus
205,5364,Cilimus,Valid,L5,1600,Fell,1979,-6.95,108.1,21384,36700,Claxton
206,5374,Claxton,Valid,L6,1455,Fell,1984,32.1025,-81.87278,15660,30600,Clohars
207,5383,Clohars,Valid,L4,48.6,Fell,1822,,,58328,3180,Colby (Wisconsin)
208,5395,Colby (Wisconsin),Valid,L6,104000,Fell,1917,44.9,-90.28333,53991,8860,Cold Bokkeveld
209,5397,Cold Bokkeveld,Valid,CM2,5200,Fell,1838,-33.13333,19.38333,68385,8150000,Coleman
210,5401,Coleman,Valid,L6,469,Fell,1994,43.76111,-84.50778,67770,3660,Collescipoli
211,5403,Collescipoli,Valid,H5,5000,Fell,1890,42.53333,12.61667,4888,2300000,Conquista
212,5418,Conquista,Valid,H4,20350,Fell,1965,-19.85,-47.55,7685,51100,Cosina
213,5451,Cosina,Valid,H5,1200,Fell,1844,21.16667,-100.86667,28854,11000,Cranganore
214,5465,Cranganore,Valid,L6,1460,Fell,1917,10.2,76.26667,610,924000,Crescent
215,5470,Crescent,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,28566,666,Cronstad
216,5474,Cronstad,Valid,H5,3650,Fell,1877,-27.7,27.3,80072,1540000,Cross Roads
217,5476,Cross Roads,Valid,H5,167,Fell,1892,35.63333,-78.13333,91429,271000,Crumlin
218,5477,Crumlin,Valid,L5,4255,Fell,1902,54.61667,-6.21667,85589,53000,Cumberland Falls
219,5496,Cumberland Falls,Valid,Aubrite,17000,Fell,1919,36.83333,-84.35,3780,216000,Cynthiana
220,5500,Cynthiana,Valid,L/LL4,6000,Fell,1877,38.4,-84.25,56096,3150000,Çanakkale
221,5504,Dahmani,Valid,LL6,18000,Fell,1981,35.61667,8.83333,79662,40100,Dahmani
