id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
119,5063,Bjelaja Zerkov,Valid,H6,1850,Fell,1796,49.78333,30.16667,35787
120,5064,Bjurböle,Valid,L/LL4,330000,Fell,1899,60.4,25.8,29143
121,5065,Black Moshannan Park,Valid,L5,705,Fell,1941,40.91667,-78.08333,64279
122,5068,Blackwell,Valid,L5,2381,Fell,1906,36.83333,-97.33333,36315
123,5071,Blanket,Valid,L6,5100,Fell,1909,31.83333,-98.83333,33372
124,5072,Blansko,Valid,H6,470,Fell,1833,49.36667,16.63333,54396
125,5076,Bloomington,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,99047
126,5090,Bo Xian,Valid,LL3.9,7500,Fell,1977,33.83333,115.83333,37008
127,5093,Bocas,Valid,L6,56,Fell,1804,23,-102,31963
128,5097,Bogou,Valid,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7,40060
129,5098,Boguslavka,Valid,"Iron, IIAB",256000,Fell,1916,44.55,131.63333,33794
130,5110,Borgo San Donino,Valid,LL6,1676,Fell,1808,44.86667,10.05,85831
131,5111,Bori,Valid,L6,8600,Fell,1894,21.95,78.03333,86155
132,5112,Boriskino,Valid,CM2,1342,Fell,1930,54.23333,52.48333,46587
133,5113,Borkut,Valid,L5,7000,Fell,1852,48.15,24.28333,87927
134,5114,Borodino,Valid,H5,500,Fell,1812,55.46667,35.86667,65267
135,5117,Botschetschki,Valid,L4,614,Fell,1823,51.33333,33.88333,55345
136,57168,Boumdeid (2003),Valid,L6,190,Fell,2003,17.71067,-11.3715,22905
137,57167,Boumdeid (2011),Valid,L6,3599,Fell,2011,17.17493,-11.34133,4567
138,5121,Bovedy,Valid,L3,5460,Fell,1969,54.56667,-6.33333,46841
139,5128,Bradford Woods,Valid,L,762,Fell,1886,40.5,-80.08333,70332
140,5133,Braunau,Valid,"Iron, IIAB",39000,Fell,1847,50.6,16.3,50672
141,5134,Breitscheid,Valid,H5,1500,Fell,1956,50.66694,8.18361,55420
142,5135,Bremervörde,Valid,H/L3.9,7250,Fell,1855,53.4,9.1,61750
143,5140,Brient,Valid,Eucrite-pmict,219,Fell,1933,52.13333,59.31667,49503
144,5156,Bruderheim,Valid,L6,303000,Fell,1960,53.9,-112.88333,78301
145,30448,Bukhara,Valid,CV3,5300,Fell,2001,39.77978,64.60035,63083
146,5163,Bulls Run,Valid,Iron?,2250,Fell,1964,,,32054
147,48653,Bunburra Rockhole,Valid,Eucrite,324,Fell,2007,-31.35,129.19,85422
148,5165,Bununu,Valid,Howardite,357,Fell,1942,10.01667,9.58333,71367
149,5169,Bur-Gheluai,Valid,H5,120000,Fell,1919,5,48,49334
150,5175,Burnwell,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,13919
151,5177,Bursa,Valid,L6,25000,Fell,1946,40.2,29.23333,24436
152,5178,Buschhof,Valid,L6,5000,Fell,1863,46.45,25.78333,14813
153,5181,Bustee,Valid,Aubrite,1500,Fell,1852,26.78333,82.83333,91424
154,5183,Butsura,Valid,H6,29000,Fell,1861,27.08333,84.08333,32542
155,48654,Buzzard Coulee,Valid,H4,41000,Fell,2008,52.996,-109.84817,94772
156,5185,Cabezo de Mayo,Valid,L/LL6,25000,Fell,1870,37.98333,-1.16667,4467
157,5186,Cabin Creek,Valid,"Iron, IIIAB",48500,Fell,1886,35.5,-93.5,12703
158,5187,Cacak,Valid,OC,212,Fell,1919,43.83889,20.33333,61786
159,45976,Cali,Valid,H/L4,478,Fell,2007,3.405,-76.51,6767
160,5200,Calivo,Valid,Stone-uncl,2400,Fell,1916,11.75,122.33333,15285
161,5249,Campos Sales,Valid,L5,23680,Fell,1991,-7.03333,-40.16667,9128
162,5250,Çanakkale,Valid,L6,4000,Fell,1964,39.8,26.6,50313
163,5251,Cañellas,Valid,H4,945,Fell,1861,41.25,1.66667,99940
